T0,T2,T1,lagT1,lagT2,lagEnd,responseT1,responseT2,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_context.thisRepN,trials_context.thisTrialN,trials_context.thisN,trials_context.thisIndex,trials_T1.thisRepN,trials_T1.thisTrialN,trials_T1.thisN,trials_T1.thisIndex,trials_T2.thisRepN,trials_T2.thisTrialN,trials_T2.thisN,trials_T2.thisIndex,thisRow.t,notes,instructions.started,text_insctructions.started,instructions.stopped,context.started,context_word.started,blankContext.started,context_word.stopped,blankContext.stopped,context.stopped,distractors.started,text_disctractors.started,text_disctractors.stopped,distractors.stopped,T1_number.started,text_T1.started,text_T1.stopped,T1_number.stopped,T2_probe.started,text_T2.started,text_T2.stopped,T2_probe.stopped,Ask_T1.started,blankT1_1.started,text_T1ask.started,key_resp_T1.started,blankT1_1.stopped,text_T1ask.stopped,blankT1_2.started,key_resp_T1.stopped,blankT1_2.stopped,Ask_T1.stopped,key_resp_T1.keys,key_resp_T1.corr,Ask_T2.started,blankT2_1.started,blankT2_1.stopped,text_T2ask.started,key_resp_T2.started,text_T2ask.stopped,blankT2_2.started,key_resp_T2.stopped,blankT2_2.stopped,Ask_T2.stopped,key_resp_T2.keys,key_resp_T2.corr,participant,session,date,expName,psychopyVersion,frameRate,expStart,
XWEEDSX,XROOTSX,7777777,8,3,9,j,f,0,1,1,4,,,,,0,5,5,7,,,,,17.799614500021562,,,,,,,,,,,17.783928900025785,17.799614500021562,17.88368529989384,17.86716299992986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312036,001,2024-03-06_16h43.36.905,AB,2023.2.3,60.36609621779943,2024-03-06 16h43.46.562496 +0100,
XXCATXX,XKITTEN,9999999,10,1,9,j,f,0,1,1,4,,,,,0,6,6,3,,,,,17.88368529989384,,,,,,,,,,,17.8674399999436,17.88368529989384,17.96619309997186,17.95025959983468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312036,001,2024-03-06_16h43.36.905,AB,2023.2.3,60.36609621779943,2024-03-06 16h43.46.562496 +0100,
PROMISE,XPLEDGE,2222222,7,1,12,f,f,0,1,1,4,,,,,0,7,7,8,,,,,17.96619309997186,,,,,,,,,,,17.95051410002634,17.96619309997186,18.04995059990324,18.033625799929723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312036,001,2024-03-06_16h43.36.905,AB,2023.2.3,60.36609621779943,2024-03-06 16h43.46.562496 +0100,
XSTRAWX,XXHAYXX,4444444,7,1,12,f,f,0,1,1,4,,,,,0,8,8,6,,,,,18.04995059990324,,,,,,,,,,,18.033878299873322,18.04995059990324,18.133233999833465,18.117428599856794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312036,001,2024-03-06_16h43.36.905,AB,2023.2.3,60.36609621779943,2024-03-06 16h43.46.562496 +0100,
CURTAIN,XDRAPEX,8888888,9,7,4,f,f,0,1,1,4,,,,,,,,,0,0,0,2,18.300231599947438,,,,,,,,,,,18.28908949997276,18.300231599947438,18.38360139983706,18.367294399999082,,,,,18.117544499924406,18.217026700032875,18.300231599947438,18.284402000019327,,,,,,,,,,,,,,,,,,,,,,,,,312036,001,2024-03-06_16h43.36.905,AB,2023.2.3,60.36609621779943,2024-03-06 16h43.46.562496 +0100,
XSTOREX,XXSHOPX,1111111,9,3,8,j,f,0,1,1,4,,,,,,,,,0,1,1,1,18.38360139983706,,,,,,,,,,,18.367551799863577,18.38360139983706,18.467122199945152,18.45059509994462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312036,001,2024-03-06_16h43.36.905,AB,2023.2.3,60.36609621779943,2024-03-06 16h43.46.562496 +0100,
XXCATXX,XKITTEN,9999999,10,1,9,j,f,0,1,1,4,,,,,,,,,0,2,2,3,18.467122199945152,,,,,,,,,,,18.45100609981455,18.467122199945152,18.550673799822107,18.534183099865913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312036,001,2024-03-06_16h43.36.905,AB,2023.2.3,60.36609621779943,2024-03-06 16h43.46.562496 +0100,
XHANDSX,XXFEETX,7777777,7,1,12,j,f,0,1,1,4,,,,,,,,,0,3,3,0,18.550673799822107,,,,,,,,,,,18.534499399829656,18.550673799822107,18.634020899888128,18.617713399929926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312036,001,2024-03-06_16h43.36.905,AB,2023.2.3,60.36609621779943,2024-03-06 16h43.46.562496 +0100,
XPONDER,XTHINKX,5555555,9,7,4,j,f,0,1,1,4,,,,,,,,,0,4,4,4,18.634020899888128,,,,,,,,,,,18.617974299937487,18.634020899888128,18.717325599864125,18.701133399968967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312036,001,2024-03-06_16h43.36.905,AB,2023.2.3,60.36609621779943,2024-03-06 16h43.46.562496 +0100,
XWEEDSX,XROOTSX,7777777,8,3,9,j,f,0,1,1,4,,,,,,,,,0,5,5,7,18.717325599864125,,,,,,,,,,,18.701382899889722,18.717325599864125,18.80066439998336,18.78418769990094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312036,001,2024-03-06_16h43.36.905,AB,2023.2.3,60.36609621779943,2024-03-06 16h43.46.562496 +0100,
XXBAGXX,XXSACKX,3333333,9,3,8,j,f,0,1,1,4,,,,,,,,,0,6,6,5,18.80066439998336,,,,,,,,,,,18.784445099998266,18.80066439998336,18.88387729995884,18.867763299960643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312036,001,2024-03-06_16h43.36.905,AB,2023.2.3,60.36609621779943,2024-03-06 16h43.46.562496 +0100,
XSTRAWX,XXHAYXX,4444444,7,1,12,f,f,0,1,1,4,,,,,,,,,0,7,7,6,18.88387729995884,,,,,,,,,,,18.868012299994007,18.88387729995884,18.96756389993243,18.951119699981064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312036,001,2024-03-06_16h43.36.905,AB,2023.2.3,60.36609621779943,2024-03-06 16h43.46.562496 +0100,
PROMISE,XPLEDGE,2222222,7,1,12,f,f,0,1,1,4,,,,,,,,,0,8,8,8,18.96756389993243,,,,,,,,,,,18.951379799982533,18.96756389993243,19.050745999906212,19.0345631998498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312036,001,2024-03-06_16h43.36.905,AB,2023.2.3,60.36609621779943,2024-03-06 16h43.46.562496 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.034640499856323,19.050745999906212,20.05209679994732,20.05209679994732,20.05209679994732,22.05357929994352,22.05357929994352,22.05357929994352,,,,,,,,,,,,,,,,,,,,,,,,
